idx,date,y
0,7,0.0
1,7,0.0
2,8,0.0
3,7,0.0
4,7,0.0
5,7,0.0
6,5,0.0
7,40,1.0
8,11,1.0
9,52,1.0
10,53,1.0
11,22,1.0
12,36,1.0
13,48,0.0
14,44,0.0
15,2,1.0
16,36,1.0
17,28,0.0
18,40,1.0
19,32,1.0
20,1,1.0
21,51,0.0
22,67,0.0
23,57,0.0
24,49,1.0
25,44,1.0
26,22,0.0
27,52,0.0
28,23,0.0
29,12,1.0
30,24,0.0
31,7,0.0
32,52,1.0
33,60,0.0
34,71,0.0
35,24,0.0
36,28,1.0
37,26,0.0
38,35,1.0
40,12,1.0
42,39,0.0
44,50,1.0
46,22,0.0
47,65,0.0
48,73,0.0
49,71,0.0
50,61,1.0
51,23,0.0
52,8,0.0
53,32,1.0
54,39,0.0
57,39,1.0
58,45,1.0
59,28,1.0
60,64,1.0
61,1,0.0
62,53,0.0
63,7,0.0
64,61,0.0
65,14,1.0
66,6,0.0
67,14,0.0
68,32,0.0
69,29,0.0
70,48,0.0
71,71,1.0
72,5,0.0
74,28,0.0
75,49,1.0
76,25,0.0
77,42,0.0
78,5,0.0
79,61,0.0
80,33,0.0
81,72,0.0
82,71,1.0
83,61,0.0
84,42,0.0
87,37,1.0
88,55,0.0
89,45,0.0
90,61,0.0
91,4,0.0
92,8,1.0
93,65,1.0
94,40,0.0
95,10,0.0
96,27,0.0
99,8,1.0
100,33,0.0
102,24,1.0
103,17,0.0
104,59,1.0
105,9,0.0
106,71,0.0
107,13,0.0
108,7,1.0
109,26,0.0
110,70,0.0
111,45,0.0
113,6,0.0
114,9,0.0
115,71,0.0
116,13,0.0
118,6,0.0
119,31,0.0
120,25,0.0
122,33,1.0
123,44,1.0
124,39,0.0
125,53,0.0
126,33,1.0
127,7,0.0
128,7,0.0
129,29,1.0
130,67,0.0
131,5,0.0
132,42,0.0
133,1,1.0
134,41,0.0
135,13,0.0
136,69,0.0
138,8,0.0
139,14,0.0
140,5,0.0
141,15,0.0
142,10,1.0
143,16,0.0
144,60,0.0
145,60,0.0
146,6,0.0
147,42,0.0
149,6,0.0
150,4,0.0
151,7,1.0
152,73,1.0
153,56,0.0
155,64,0.0
156,72,1.0
157,7,1.0
158,8,0.0
159,1,1.0
160,5,0.0
161,9,1.0
163,6,1.0
164,8,0.0
166,2,0.0
167,10,0.0
168,5,0.0
169,72,0.0
170,66,0.0
171,2,0.0
172,35,1.0
173,65,0.0
175,45,0.0
177,6,1.0
178,7,0.0
179,22,0.0
180,24,0.0
182,27,1.0
183,57,0.0
185,5,0.0
186,16,1.0
187,51,1.0
188,6,0.0
189,8,0.0
190,63,1.0
191,46,0.0
192,27,1.0
193,27,1.0
194,49,0.0
195,20,0.0
196,3,1.0
197,47,0.0
198,32,0.0
200,39,0.0
201,16,0.0
202,6,0.0
203,16,0.0
204,8,0.0
205,3,0.0
207,65,0.0
208,61,1.0
209,44,0.0
210,56,0.0
211,45,0.0
212,41,0.0
213,3,0.0
214,60,0.0
215,17,0.0
217,29,1.0
218,61,0.0
219,45,0.0
220,8,1.0
222,41,0.0
223,7,0.0
224,1,0.0
225,13,1.0
228,31,0.0
229,69,0.0
231,18,0.0
232,42,0.0
233,19,0.0
235,56,1.0
236,72,1.0
237,33,0.0
238,64,0.0
239,18,1.0
240,7,0.0
241,1,0.0
242,41,0.0
243,9,0.0
244,30,0.0
245,58,0.0
246,33,1.0
247,2,0.0
248,2,0.0
249,70,0.0
250,7,0.0
251,1,0.0
252,50,0.0
253,8,0.0
254,5,0.0
255,49,0.0
257,62,0.0
258,6,0.0
259,6,0.0
261,30,0.0
262,5,0.0
263,7,1.0
264,72,0.0
265,7,0.0
266,12,1.0
267,28,1.0
268,34,0.0
270,6,0.0
271,57,0.0
272,60,0.0
273,45,1.0
274,38,1.0
275,20,1.0
276,22,0.0
277,72,0.0
278,15,0.0
279,4,0.0
280,20,0.0
281,12,0.0
283,16,0.0
284,9,0.0
285,62,1.0
287,70,0.0
288,59,0.0
289,64,0.0
290,12,0.0
291,4,0.0
292,35,0.0
293,24,0.0
294,13,0.0
295,15,1.0
296,50,0.0
297,54,1.0
298,10,0.0
299,20,0.0
301,24,1.0
302,31,0.0
303,13,1.0
305,33,1.0
306,8,0.0
307,73,0.0
308,50,0.0
309,24,1.0
311,5,0.0
312,29,1.0
313,20,0.0
314,38,0.0
315,20,0.0
316,71,0.0
317,12,0.0
320,60,1.0
321,43,1.0
323,2,0.0
324,6,0.0
325,61,0.0
326,68,0.0
327,62,0.0
328,57,1.0
330,43,0.0
331,5,0.0
333,59,0.0
334,70,0.0
335,20,0.0
336,22,0.0
337,15,0.0
338,69,0.0
339,46,0.0
340,2,0.0
341,47,0.0
343,11,0.0
344,70,1.0
345,3,0.0
346,46,0.0
347,59,1.0
348,17,0.0
349,29,0.0
350,61,0.0
351,58,1.0
352,26,0.0
353,24,0.0
354,8,0.0
355,4,0.0
356,9,0.0
357,40,1.0
358,3,0.0
359,8,0.0
360,3,0.0
361,1,0.0
362,34,0.0
363,18,0.0
365,52,0.0
366,36,1.0
367,55,0.0
368,28,0.0
369,55,1.0
370,26,0.0
371,6,0.0
372,1,1.0
373,73,0.0
374,62,1.0
